age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
26;services;married;high.school;no;yes;no;cellular;may;fri;3;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1
40;management;married;basic.9y;no;yes;yes;telephone;jun;fri;1;999;0;nonexistent;1.4;94.465;-41.8;4.947;5228.1
49;admin.;married;university.degree;no;no;no;cellular;aug;wed;1;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
33;self-employed;single;university.degree;no;no;no;telephone;may;thu;2;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
28;technician;single;professional.course;no;yes;no;cellular;aug;thu;3;999;0;nonexistent;-2.9;92.201;-31.4;0.851;5076.2
40;technician;married;professional.course;no;yes;no;telephone;nov;tue;4;999;0;nonexistent;-0.1;93.2;-42.0;4.153;5195.8
32;technician;single;professional.course;no;yes;no;cellular;jul;thu;1;999;0;nonexistent;1.4;93.918;-42.7;4.968;5228.1
44;blue-collar;married;professional.course;unknown;no;no;cellular;nov;tue;2;999;0;nonexistent;-0.1;93.2;-42.0;4.153;5195.8
32;technician;married;university.degree;no;yes;no;cellular;aug;thu;2;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1
36;technician;married;high.school;no;yes;yes;cellular;may;fri;1;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1
30;services;single;high.school;no;no;no;cellular;jul;thu;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
30;admin.;single;university.degree;no;no;no;cellular;aug;thu;4;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1
50;technician;married;high.school;no;no;no;telephone;may;wed;5;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
27;management;single;university.degree;no;yes;no;telephone;may;tue;2;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
52;admin.;divorced;university.degree;unknown;yes;yes;cellular;jul;tue;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
59;retired;divorced;basic.4y;no;no;no;telephone;may;tue;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
42;services;divorced;high.school;no;yes;yes;cellular;may;thu;1;999;1;failure;-1.8;92.893;-46.2;1.266;5099.1
43;entrepreneur;married;basic.9y;unknown;yes;no;telephone;may;fri;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
39;services;divorced;high.school;no;no;no;cellular;jul;thu;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
38;technician;married;university.degree;no;no;no;cellular;oct;fri;1;999;0;nonexistent;-3.4;92.431;-26.9;0.739;5017.5
32;admin.;single;university.degree;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
53;management;married;basic.9y;unknown;yes;yes;cellular;jul;fri;2;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
69;retired;married;high.school;no;yes;yes;cellular;sep;wed;1;6;2;success;-1.1;94.199;-37.5;0.886;4963.6
51;admin.;married;university.degree;no;yes;no;cellular;nov;tue;2;999;0;nonexistent;-0.1;93.2;-42.0;4.153;5195.8
34;admin.;married;university.degree;no;no;yes;cellular;sep;wed;3;999;0;nonexistent;-1.1;94.199;-37.5;0.886;4963.6
32;services;single;university.degree;no;no;yes;cellular;may;fri;3;999;0;nonexistent;-1.8;93.876;-40.0;0.699;5008.7
30;admin.;married;university.degree;no;no;no;cellular;sep;mon;2;6;1;success;-3.4;92.379;-29.8;0.739;5017.5
43;blue-collar;married;basic.6y;unknown;yes;no;telephone;may;fri;4;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
37;blue-collar;divorced;basic.9y;unknown;yes;no;cellular;jul;thu;1;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
35;services;divorced;high.school;unknown;yes;no;cellular;jul;mon;3;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
62;admin.;married;high.school;no;no;no;cellular;oct;tue;1;4;3;success;-1.1;94.601;-49.5;1.037;4963.6
52;management;married;university.degree;no;yes;no;cellular;nov;wed;3;999;0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8
30;blue-collar;single;basic.9y;no;yes;no;telephone;jul;thu;3;999;0;nonexistent;1.4;93.918;-42.7;4.958;5228.1
33;admin.;single;high.school;no;yes;no;cellular;jul;fri;1;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1
35;admin.;married;university.degree;no;yes;no;cellular;aug;wed;2;999;2;failure;-2.9;92.201;-31.4;0.854;5076.2
33;admin.;single;university.degree;no;yes;no;cellular;aug;thu;4;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
34;services;married;high.school;no;yes;no;cellular;may;fri;3;999;1;failure;-1.8;92.893;-46.2;1.25;5099.1
40;management;married;university.degree;no;yes;no;telephone;may;wed;2;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
45;self-employed;married;basic.6y;no;yes;no;cellular;aug;wed;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
33;blue-collar;married;basic.9y;no;yes;no;cellular;jul;wed;11;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1
64;management;married;high.school;no;yes;no;cellular;apr;fri;2;999;0;nonexistent;-1.8;93.075;-47.1;1.4;5099.1
48;entrepreneur;married;university.degree;no;no;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1
44;blue-collar;single;basic.9y;no;yes;no;cellular;may;mon;2;999;1;failure;-1.8;92.893;-46.2;1.244;5099.1
36;blue-collar;single;basic.9y;no;no;no;telephone;may;fri;1;999;0;nonexistent;1.1;93.994;-36.4;4.864;5191.0
28;admin.;married;university.degree;no;yes;no;cellular;may;mon;1;999;0;nonexistent;-1.8;92.893;-46.2;1.354;5099.1
37;unemployed;married;professional.course;no;yes;no;telephone;may;fri;2;999;0;nonexistent;1.1;93.994;-36.4;4.864;5191.0
37;technician;single;professional.course;no;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
30;services;single;basic.9y;no;yes;no;cellular;jul;wed;3;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
56;technician;married;unknown;no;no;yes;telephone;jun;fri;4;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
33;admin.;married;university.degree;no;no;no;telephone;jun;tue;3;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1
31;admin.;married;high.school;no;no;no;cellular;jun;wed;1;2;1;success;-2.9;92.963;-40.8;1.26;5076.2
34;admin.;married;university.degree;no;no;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
72;admin.;married;university.degree;unknown;no;yes;cellular;oct;tue;1;6;1;success;-3.4;92.431;-26.9;0.728;5017.5
38;admin.;single;university.degree;no;yes;yes;cellular;jul;thu;3;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
25;blue-collar;single;professional.course;no;yes;no;cellular;jun;tue;2;3;1;success;-2.9;92.963;-40.8;1.262;5076.2
30;student;single;unknown;no;no;no;cellular;mar;thu;1;14;1;success;-1.8;93.369;-34.8;0.635;5008.7
56;blue-collar;married;unknown;unknown;yes;yes;cellular;jul;mon;1;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
74;retired;married;unknown;no;no;yes;cellular;mar;fri;2;999;0;nonexistent;-1.8;93.369;-34.8;0.653;5008.7
30;student;single;unknown;no;no;yes;telephone;mar;tue;1;3;2;success;-1.8;93.369;-34.8;0.637;5008.7
33;blue-collar;single;basic.9y;no;no;no;telephone;may;tue;10;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
43;management;married;basic.6y;no;no;no;cellular;apr;wed;1;999;1;failure;-1.8;93.075;-47.1;1.415;5099.1
42;admin.;married;university.degree;no;no;no;cellular;jun;thu;1;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2
49;technician;married;professional.course;no;yes;yes;telephone;jul;mon;3;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
47;admin.;single;university.degree;no;yes;no;cellular;aug;tue;1;999;1;failure;-2.9;92.201;-31.4;0.859;5076.2
42;admin.;married;high.school;no;yes;no;cellular;nov;mon;1;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8
46;technician;married;professional.course;unknown;yes;no;cellular;aug;thu;5;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1
54;services;married;unknown;no;no;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
32;housemaid;married;basic.4y;no;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
29;admin.;single;high.school;no;yes;no;cellular;nov;fri;2;7;2;success;-3.4;92.649;-30.1;0.714;5017.5
40;self-employed;married;basic.4y;unknown;no;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
42;admin.;married;high.school;no;no;no;cellular;nov;mon;2;999;1;failure;-0.1;93.2;-42.0;4.191;5195.8
42;self-employed;married;university.degree;no;no;no;cellular;apr;tue;2;999;0;nonexistent;-1.8;93.075;-47.1;1.423;5099.1
23;blue-collar;single;basic.9y;no;yes;no;cellular;may;tue;1;999;1;failure;-1.8;92.893;-46.2;1.291;5099.1
54;blue-collar;married;basic.4y;no;no;yes;cellular;may;fri;2;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1
57;technician;married;professional.course;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.858;5191.0
32;services;married;university.degree;no;no;no;telephone;jul;mon;10;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
58;retired;married;high.school;unknown;no;no;cellular;may;tue;1;999;1;failure;-1.8;92.893;-46.2;1.344;5099.1
48;technician;married;professional.course;no;yes;yes;cellular;oct;mon;1;8;1;success;-1.1;94.601;-49.5;0.977;4963.6
39;technician;single;professional.course;no;yes;no;cellular;apr;wed;2;999;0;nonexistent;-1.8;93.075;-47.1;1.415;5099.1
48;management;divorced;university.degree;no;yes;no;cellular;nov;wed;1;3;1;success;-3.4;92.649;-30.1;0.716;5017.5
51;unemployed;married;basic.4y;unknown;yes;no;telephone;may;thu;2;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
36;technician;married;basic.4y;no;no;no;cellular;jul;mon;1;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
38;admin.;married;university.degree;no;yes;no;cellular;apr;fri;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
32;unemployed;married;high.school;no;yes;no;cellular;nov;thu;1;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
33;services;single;high.school;no;yes;no;cellular;oct;mon;1;6;1;success;-1.1;94.601;-49.5;1.032;4963.6
30;admin.;divorced;basic.6y;no;no;no;cellular;jul;wed;10;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
31;blue-collar;single;basic.9y;no;yes;no;cellular;jul;tue;1;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
42;services;single;high.school;no;yes;no;cellular;may;mon;2;999;0;nonexistent;-1.8;92.893;-46.2;1.244;5099.1
37;management;married;university.degree;no;no;no;cellular;apr;mon;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
35;management;divorced;university.degree;no;no;no;cellular;dec;mon;2;999;1;failure;-3.0;92.713;-33.0;0.706;5023.5
28;admin.;single;high.school;no;no;no;telephone;oct;wed;1;999;0;nonexistent;-3.4;92.431;-26.9;0.742;5017.5
43;technician;married;university.degree;unknown;unknown;unknown;cellular;may;tue;1;999;1;failure;-1.8;92.893;-46.2;1.291;5099.1
39;blue-collar;married;basic.6y;no;yes;no;telephone;may;thu;3;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0
38;services;married;high.school;no;no;no;cellular;jul;thu;2;999;0;nonexistent;1.4;93.918;-42.7;4.968;5228.1
41;admin.;married;university.degree;no;no;no;telephone;may;mon;2;999;0;nonexistent;-1.8;93.876;-40.0;0.682;5008.7
24;admin.;married;basic.9y;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
35;blue-collar;single;unknown;no;yes;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
25;technician;single;basic.9y;no;yes;no;cellular;jun;fri;2;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2
35;blue-collar;divorced;high.school;no;no;no;cellular;aug;thu;1;3;1;success;-2.9;92.201;-31.4;0.851;5076.2
47;blue-collar;married;basic.4y;no;yes;no;telephone;may;tue;12;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
51;technician;married;professional.course;no;yes;no;cellular;nov;thu;1;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
28;blue-collar;single;high.school;no;yes;yes;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.483;5099.1
57;services;divorced;high.school;unknown;no;yes;telephone;may;thu;2;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0
28;admin.;single;university.degree;no;no;no;telephone;apr;fri;2;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
53;technician;married;professional.course;unknown;no;no;telephone;jun;fri;6;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
36;admin.;married;university.degree;unknown;no;no;cellular;jul;fri;2;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
27;technician;married;professional.course;no;yes;yes;cellular;jul;mon;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
24;services;single;high.school;no;yes;no;telephone;apr;tue;1;999;1;failure;-1.8;93.075;-47.1;1.423;5099.1
23;admin.;single;university.degree;no;no;no;cellular;apr;wed;1;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1
36;technician;married;professional.course;no;no;no;telephone;jun;mon;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1
28;services;married;high.school;no;yes;yes;cellular;jul;wed;1;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1
51;entrepreneur;married;professional.course;unknown;no;no;cellular;may;mon;1;999;1;failure;-1.8;92.893;-46.2;1.299;5099.1
46;admin.;single;high.school;no;no;no;cellular;aug;thu;2;17;1;success;-1.7;94.027;-38.3;0.904;4991.6
33;admin.;married;high.school;no;no;no;cellular;apr;thu;2;999;1;failure;-1.8;93.075;-47.1;1.365;5099.1
28;services;single;high.school;no;yes;no;cellular;jul;thu;1;6;1;success;-1.7;94.215;-40.3;0.846;4991.6
42;technician;single;professional.course;no;no;no;cellular;may;wed;2;999;0;nonexistent;-1.8;92.893;-46.2;1.281;5099.1
36;admin.;married;university.degree;no;yes;yes;cellular;may;thu;1;6;2;success;-1.8;93.876;-40.0;0.699;5008.7
45;technician;married;professional.course;unknown;yes;no;cellular;aug;tue;1;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1
43;blue-collar;married;basic.4y;unknown;no;no;cellular;may;fri;3;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1
29;admin.;married;university.degree;no;yes;no;cellular;aug;wed;1;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
52;management;divorced;university.degree;no;yes;no;cellular;nov;mon;2;999;1;failure;-0.1;93.2;-42.0;4.191;5195.8
30;unemployed;single;university.degree;no;yes;no;cellular;apr;wed;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
44;blue-collar;married;unknown;unknown;yes;no;telephone;may;tue;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
34;admin.;single;high.school;no;yes;no;cellular;nov;mon;2;999;1;failure;-3.4;92.649;-30.1;0.722;5017.5
22;blue-collar;single;basic.6y;unknown;no;yes;telephone;may;fri;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
